"","candidate","combo","gender","trimmed","inc","openseat","ss_party"
"488","Bjorkman, Timothy","Tim Bjorkman SD",0,NA,0,1,0
"489","Olsen, Marty","Marty Olsen TN",0,NA,0,0,0
"490","Williams, Joshua","Joshua Williams TN",0,"* A woman’s right to choose is something I'll always defend.     There's no logical reason why someone would want to force children to be born into homes that can’t afford them or parents who say they don’t want them.  We have decades of evidence showing the benefit across all of society when a country allows women the right to choose.    One of the most helpful things a country can do for itself is to make contraceptives as readily available as possible. The people who want them and can’t afford them are the ones who need them the most.     How much better would our country be if every single child was born into financial stability, love, and options. ",0,1,0
"491","Hoyos, Renee","Renee Hoyos TN",1,NA,0,1,0
"492","Mitchell, Danielle","Danielle Mitchell TN",1,NA,0,0,0
"493","Phillips, Mariah","Mariah Phillips TN",1,NA,0,0,0
"494","Reynolds, Steven","Steven Reynolds TN",0,NA,0,0,0
"495","Hale, Christopher","Christopher Hale TN",0,NA,0,0,0
"496","Barlow, Dawn","Dawn Barlow TN",1,"Ensure that women of childbearing age have access to contraception so that we can end the epidemic of Neonatal Abstinence Syndrome. \n* Educate the public on the dangers of opiates leading to addiction, neonatal abstinence syndrome and the often over-looked health concerns related to intravenous drug use - Hepatitis C and HIV.\n \nThese initiatives are a start. This is going to be a tough battle but those suffering from addiction are our family, friends and neighbors.\n \nTheir lives are worth saving.

Tennessee women make 82 cents on the dollar for the same job as men.  Men make more than women at every education level.  This steals an average of $7745 per year out of the pocket of every working Tennessee woman.  \n \nI support pay equality because I support Tennessee families.  When women are paid fairly, the entire family benefits. \n \nI support raising the minimum wage and ending wage inequality.",0,1,0
"497","Wineinger, Merrilee","Merrilee Wineinger TN",1,NA,0,1,0
"498","Reel, Matt","Matt Reel TN",0,NA,0,1,0
"499","Boatner, John","John Boatner TN",0,"West Tennesseans know how to work hard, but for too long we’ve seen jobs leave our district. To bring those jobs back, we need to invest in education and infrastructure and stabilize our healthcare system; we can’t expect companies to set up shop here if the community isn’t vibrant and healthy. We also need to support local businesses, develop public/private partnerships so government dollars are spent at home where they belong, and ensure that everyone who wants to work can find a job that will pay them a living wage.America is one of four countries on earth without paid maternity leave. How is that possible? Families deserve the peace of mind of knowing that they will not lose their jobs as a result of an new baby or an illness. That means developing a permanent system of paid family sick leave and paternal and maternal leave.It’s simple: equal pay for equal work.  Anything less is discrimination by other means.We should strive for deeper regional integration to make sure that opportunity is not simply a byproduct of living in or near metropolitan areas.",0,0,0
"500","McKellar, Shirley","Shirley McKeller TX",1,NA,0,0,0
"501","Beal, Brent","Brent Beal TX",0,"Everyone should be treated fairly and with respect. I will fight for equal opportunities for the working class, rural communities, women, minorities, the LGBT community, and so on. We need to focus on shared values — such as equal treatment before the law and equal opportunities for education and job training — rather than on the interests of specific groups.\nThe tagline of my campaign is “smart, effective government.” Government should function rationally, effectively, and in a manner that benefits the public interest. I want to contribute to making government more effective and more responsive to individual citizens.\nIt is essential that people who are willing to work hard and put in 40 hours a week are able to earn a living. A dignified life should be within everyone’s reach.\nWe live in a representative democracy. Once someone running for public office wins, they belong to everyone. I pledge to do my best to represent everyone’s interests. I will talk to everyone. I will listen to everyone. I will build consensus and do what it takes to make a difference.",0,0,0
"502","Parvizian, HP","H.P. Parvizian TX",0,NA,0,1,2
"503","Litton, Todd","Todd Litton TX",0,"I am firmly pro-choice and support every woman’s right to make medical decisions affecting her body without interference. \n\nWomen’s Health\nTexas has the highest maternal mortality rate, not just of any state, but of any country in the developed world. It defies Common Sense and Common Decency to close clinics and short-change healthcare providers that provide maternal care. And if we want to reduce and eliminate unwanted and unintended pregnancies we need to fund sex education and birth control. It’s just that simple.\nI am firmly pro-choice, and I support every woman’s right to make medical decisions affecting her body without any interference of big government. \n\nIn matters of pregnancy, in particular, every woman should be able to seek the counsel of her faith, her family, and her medical professionals, without any interference from politicians, when deciding whether to choose to raise a child, choose adoption, or choose to end a pregnancy. \n\nI also support the efforts and funding of Planned Parenthood. Access to prenatal care, preventive well woman exams, breast and cervical cancer screenings, family planning services, and abortion services are critical care and services that all women should have access to so they can contribute fully to their families, their communities, their work, and our country.",0,1,2
"504","Khorasani, Ali","Ali Khorasni TX",0,"In the aftermath of Roe v Wade, conservatives have tried tirelessly to restrict access to abortions. All of these restrictions have resulted in increases to maternal mortality, increases in teen pregnancy in areas where sex education is abstinence-only, and increases in STI spread in similar places. Reproductive Rights are central to healthcare, and must not be infringed.\nPRO-CHOICE / PRO-ABORTION\nHome / Pro-choice / Pro-abortion\nWe must change the language around abortion and acknowledge that safe and legal abortions are critical to women’s health and reproductive rights. For this reason, I prefer to say I am pro-abortion.\nBeing pro-abortion does not mean I advocate for everyone getting abortions. A good analogy is being pro-chemotherapy. I do not advocate for indiscriminate use of chemotherapy on patients, but I believe it should be fully accessible when it is necessary as a medical procedure. In the same way I support chemotherapy for cancer patients, I support abortions for those seeking them.

Proper sex education and access to contraception are the ONLY successful ways to prevent abortions. This is backed by empirical evidence. Sex happens and should no longer be shamed. Comprehensive sex education is a proven way to reduce abortions and unwanted pregnancies, lower the incidence of sexually transmitted infections, and promote healthy awareness of one’s sexuality.

Mothers’ lives matter just as much as their children’s. Texas leads the nation in maternal mortality rates, especially among minorities. Abortions and reproductive care are vital to saving mothers.\n

Federal dollars do not fund abortions due to the Hyde Amendment. Planned Parenthood offers sex education and empowers people to make better health choices with facts, statistics, and preventative health services. Measures must be taken to end the Hyde Amendment because abortion restrictions are directly correlated with negative maternal health outcomes. Here in Texas, we have a higher maternal mortality rate than anywhere else in the industrialized world, and this is directly caused by recent anti-choice legislation.

Women still face pay grade discrimination in the workplace, which is even worse for women of color, particularly Black and Latina women. LGBTQ people also face discrimination in the workplace, and people of color face systematic oppression.\nTo date, there is no universal statute that treats all Americans equally. We must ensure that each person in this country is treated with the same human dignity and entitled to the same rights and privileges.",0,1,2
"505","Malik, Silky","Silky Malik TX",1,"Synopsis: Increase funding, access to care and protecting choice\n* ?\n* A woman has the final say over her healthcare decisions - this is between herself and her doctor. It is unacceptable in this day and age, we even have to defend that. Women have the right over their bodies, period!\n* ?\n* Our government should not interfere in women's decision about their health and families. I firmly stand with the good work Planned Parenthood has done, and refuse to let it become a political bargaining chip; I will not bargain with women's lives. Planned Parenthood has saved countless lives through its preventative care programs, which is the be only service that government pays for within Planned Parenthood today.\n* ?\n* It is important to provide access to affordable and quality healthcare for all women. I will fight the recent efforts to weaken maternity care and contraception offered by the Affordable Care Act. I will also fight efforts to defund family planning programs to ensure that women have better access to indispensable family planning and preventive health services. I vouch to oppose any effort to overturn Roe v. Wade and rights it guarantees women over their bodies.\n* ?\n* Read - The healthcare law protects women.\n* ?\n* Texas has the highest maternal mortality rate in the country, while the United States has the highest rate among the developed nations. A report by a state maternal mortality task force stated that African-American women in Texas are much more likely to die of pregnancy-related causes in the year after birth than white or Hispanic women. That report came on the heels of research showing that Texas’ maternal mortality rate had doubled over a two-year period, and now exceeds that of anywhere else in the developed world.  \n* ?\n* We must do more to ensure a rapid decrease in this morbid trend. We must provide better access to care to women and must put a focus on the groups most inflicted by this. Women's health cannot continue to be treated as a bargaining chip by our politicians.",0,1,2
"506","Jones, J Darnell","Darnell Jones TX",0,"Support equal pay for equal work,",0,1,2
"507","Burch, Laurie","Lorie Burch TX",1,NA,0,1,0
"508","Bell, Adam","Adam Bell TX",0,"I am a pro-choice candidate who supports reducing abortion rates in ways that actually work”\nI believe birth control, like all healthcare services, should be accessible and affordable, Federal funds should not be used for abortions unless medically necessary through Medicaid, and that state level restrictions on the right to choose have done more harm than good. Texas, for example, now has the highest maternal mortality rate in the developed world.\n\nI am pro-choice, but I support reducing the number of abortions through the only two ways that have been shown to actually work: making birth control affordable and available, and providing comprehensive education on reproductive health and STDs. These actions both bring down the abortion rate and improve women’s economic status. Republicans and Democrats should work together to both reduce abortion rates and improve health and education for young people.",0,1,0
"509","Johnson, Sam","Sam Johnson TX",0,NA,0,1,0
"510","Bethel, Lander","Lander Bethel TX",0,NA,0,0,0
"511","Krantz, Catherine","Catherine Krantz TX",1,NA,0,0,0
"512","Wood, Dan","Dan Wood TX",0,"Dan will fight to ensure every person is getting equal pay for equal work. Wage discrimination against women and minorities is unacceptable. Dan will support legislation that helps close the income gap for women and minorities to ensure people are paid for their hard work and paid what they deserve. \n",0,1,0
"513","Woolridge, Ruby Faye","Ruby Faye Woolridge TX",1,"Every American has the right to quality, affordable healthcare. Women have the right to make their own choices about their healthcare without interference from the state. A woman's choices are between her, her family, and her God, no one else.",0,1,2
"514","Sanchez, Jana Lynne","Jana Lynne Sanchez TX",1,"All Americans have the right to privacy under the 4th Amendment to the Constitution.  The courts have decided that the right to access abortion, is protected under the 4thAmendment.  Abortion must remain safe, legal and rare. A proven way to reduce abortion further is by increasing education and access to birth control.\n\nAll reproductive healthcare decisions must be made by women in consultation with their doctors and without government interference.",0,1,2
"515","Snider, Justin","Justin Snider TX",0,NA,0,1,2
"516","Duncan, John","John W. Duncan TX",0,"Texas women deserve leaders that will support their right to make their own medical decisions, fight for equal pay for equal work, and protect against gender based discrimination in the healthcare industry.

John supports every woman's right to make her own health care decisions in consultation with her doctor and her family. He will defend access to contraception and a woman's right to choose; he will fight any efforts by insurance companies to discriminate based on gender; he will protect Planned Parenthood from funding cuts that would diminish their ability to provide critical reproductive and preventative health care services to women and men.

Women in Texas earn 79 cents for every dollar earned by men. That is simply unacceptable. John will support legislation that would require all federal contractors to be paid equal money for equal work, regardless of gender. He will also support legislation that would require companies with more than 100 employees to report wage statistics to the federal government, broken down by race, gender, and ethnicity. This type of transparency will help tackle discrimination and close the gender pay gap.",0,1,2
"517","Fletcher, Lizzie Pannill","Lizzie Pannill Fletcher TX",1,"The health and safety of half of the population has been under relentless attack. Women must take a seat at the table to speak out for our needs.\n\nAccess to reproductive healthcare is essential to all Americans’ ability to control their lives. It is a matter of health. It is a matter of economics. It is a matter of justice. And it is not negotiable.\n\nProtecting women’s access to safe and affordable health care is one of my top priorities. I have been an advocate for this issue for more than 25 years. When I was in high school, I stood outside a Houston Planned Parenthood clinic in the August heat to stop protestors who threatened to chain themselves to the doors and prevent women from entering the clinic. After college, I co-founded Planned Parenthood Young Leaders to build a new generation of supporters for this important community partner.\n\nI will stand firmly against Donald Trump, John Culberson, and the Republicans in Congress who continue to attack Planned Parenthood. I will work to protect the Title X Family Planning Program and access to affordable reproductive health services. I will support policies to encourage access to contraception. And I will always stand up for the right to choose.",0,0,2
"518","Westin, Jason","Jason Westin TX",0,"We must enforce our laws that guarantee equal protection for all Americans, based on the 14th Amendment including the Lily Ledbetter Equal Pay Act. As a father of two strong daughters, I want to ensure that opportunities and pay are based upon merit, and not gender, race, or orientation. The Bible tells us to “love thy neighbor as thyself”, period.\nWe must ensure that all Americans, regardless of the color of their skin, where they come from, who the love, or how they identify are treated with dignity and respect. None of us is equal unless all of us are equal.

I’m proud to be endorsed by the top women’s health organization in America. Why? Because I’m the strongest candidate to advocate for women’s health. Texas has the worst maternal death rate in the developed world, due to lack of healthcare access created by Texas’ refusal to expand Medicaid resulting in the highest uninsured rate in the nation and state laws targeting women’s healthcare providers. I stand with Planned Parenthood and believe that we must stop treating it like a political football, but instead as a provider of life saving services. Fact: the only service that the government pays for Planned Parenthood is preventative care, meaning less cancer, fewer maternal deaths, and fewer teen pregnancies. I believe that a woman’s healthcare decisions should be between her and her doctor, period.\n",0,0,2
"519","Sanchez, Ivan","Ivan Sanchez TX",0,NA,0,0,2
"520","Cargas, James","James Cargas TX",0,NA,0,0,2
"521","Triantaphyllis, Alex","Alex Triantaphyllis TX",0,"Alex's strong belief is that decisions about women's health should be between\nwomen and their physicians. Our government should not encroach upon women's\ndecisions about their health and their families. Alex takes seriously the\nimportance of access to affordable, high-quality healthcare for all women. In\nCongress, he will fight for policies that allow women to have the freedom to\nmake their own healthcare choices.\nProtecting reproductive rights\nAlex supports the right of women to make their own healthcare decisions without\ngovernment interference. In Congress, he will work to protect women's right to\nchoose and their access to obstetric care and affordable birth control. Alex\nwill also fight lawmakers' recent efforts to weaken coverage for maternity care\nand no-cost contraception offered under the Affordable Care Act.\nIncreasing funding for preventive health and family planning services\nAlex will work to increase funding for the federal Title X program, which\nensures access to family planning and preventive health services. Since the\nTexas Legislature slashed funding for family planning services in 2011, a\nquarter of the state's family planning clinics have been forced to close. As a\nresult, countless Texas women have lost access to affordable birth control and\nessential preventive services like cervical and breast cancer screenings. Alex\nwill resist efforts to defund family planning programs so that all women have\naccess to vital family planning and preventive health services.\nReducing maternal mortality\nTexas has the highest maternal mortality rate in the country, and the United\nStates has the worst maternal mortality rate among developed nations. Alex will\nlead efforts to provide federal support for state efforts to reduce maternal\nmortality rates and promote the exchange of national data on maternal mortality.\nWe must do more to reduce the rate of pregnancy-related deaths and ensure access\nto prenatal care for all women.\n",0,0,2
"522","Moser, Laura","Laura Moser TX",1,NA,0,0,2
"523","David, Steven","Steven David TX",0,NA,0,0,0
"524","Harris, Matt","Matt Harris TX",0,NA,0,0,2
"525","Walker, Tami","Tami Walker TX",1,"I believe that all people (including women) should be paid equally for equal work.  \nPlanned Parenthood should be funded.  Access to birth control lowers the rate of abortions and unwanted pregnancy. The more access to pre-natal care women have, the better our maternal mortality rate will be and babies will be born healthier, with fewer complications.   Planned Parenthood also provides STD and cancer screening, which prevents more serious health problems.\nWomen should have the right to make choices related to their bodies—not the government.  The Hyde Amendment prevents Federal money from being used for abortion, but women should have access to safe abortions at their own expense if they make that decision.\nWomen should be able to work in an environment free from sexual discrimination and harassment.",0,0,2
"526","Walter-Cadien, Tawana","Tawana Walter-Cadien TX",1,NA,0,0,2
"527","Siegel, Mike","Mike Siegel TX",0,"For the rights of women and girlsA culture of toxic masculinity has held women and girls back for long enough. It’s time to restore the balance with laws that require equal pay for equal work, protect against workplace harassment, and affirm a woman’s right to choose.",0,0,2
"528","Nelson, Kevin","Kevin Nelson TX",0,"Some consider this to be the issue of the moment, but it is a problem with very deep roots.  The most powerful changes that can occur are in our culture as a whole.  At the same time, there are also some legislative steps we can take.  In particular, we should prohibit forced-arbitration clauses for sexual-harassment complaints.  Congress should also lead by example, and do a better job of policing itself.  The process for harassment complaints within Congress should be speedy and fair, and it should be made more transparent.  If a settlement payment is made to a complainant, the perpetrator and not the taxpayers should pay the bill.

If elected, I will be proud to stand up for a woman's right to choose until the day assaults on that right finally cease.  I will also work to ensure access to affordable contraception for everyone.",0,0,2
"529","Eden, Madeline","Madeline Eden TX",1,NA,0,0,2
"530","DeGrow, Richie","Richie DeGrow TX",0,NA,0,0,2
"531","Leeder, Jennie Lou","Virginia 'Jennie Lou' Leeder TX",1,NA,0,0,0
"532","Adia, Vanessa","Vanessa Adia TX",1,"“Women’s rights are human rights. Human rights are women’s rights.”Women deserve equal pay for equal work. Women deserve to be treated with the same respect as their male counterparts, and women should never have to fear for their jobs when they get pregnant. Women should be free from violence and discrimination. Women should have reproductive autonomy in order to decide if and when they become mothers. Whether women choose to be stay-at-home parents or working parents, their choice should be respected and their rights should be protected.\n \nSecuring guaranteed parental and medical leave, mandatory sick days, and quality, affordable childcare will help women and their families to have better access to the American Dream. These benefits should be equally afforded to men as well as women because companies will be less likely to discriminate against female employees when men take advantage of the same benefits. When our country’s policies lift women and families up, more women entrepreneurs will build better businesses, wage gaps will shrink, and the economy will grow.\n \nWomen should be free from violence inside and outside of our homes. I will work for laws that believe victims of rape and harassment, that don’t afford husbands more legal protection when they become abusers, and that shut down networks of human trafficking in our country. The Land of the Free should protect the rights of every young girl to have control of her body and should prosecute to the full extent of the law those who seek to abuse her.\n \nThe ability to control one’s own body is essential to one’s personal welfare. Reproductive autonomy for women means that women get to decide when or if to start a family. When women are able to have unfettered access to birth control, they can make sure they are in the ideal financial and emotional situations to start a family. In order to dramatically decrease the rate of unwanted pregnancies and abortions, women must have free and easy access to birth control. Reproductive autonomy is good not only for women but for the children who are more likely to be born in stable and loving homes.

Pursue policies that guarantee equal rights and equal pay for women\n* Secure guaranteed parental and medical leave, mandatory sick days, and affordable childcare for women and men in the workplace\n* Ensure protections for women from domestic violence, sexual harassment, and sex trafficking\n* Fight to ensure easy access to free birth control for all women and women’s rights to control their own bodies",0,0,0
"533","Sagan, Greg","Greg Sagan TX",0,"The proper role of government is to protect the individual from the mob, and the powerless from exploitation by the powerful.\n\nI am heartened by the #MeToo and Time’s Up movements for calling attention to a pervasive problem we’ve ignored for too long; just as I am heartened by renewed calls for America to finally shed the burden of her blatantly and systemically racist past.",0,0,0
"534","Bell, Adrienne","Adrienne Bell TX",1,NA,0,0,0
"535","Fenenbock, Dori","Dori Fenenbock TX",1,NA,0,1,1
"536","Carrillo, John","John Carrillo TX",0,NA,0,1,1
"537","Escobar, Veronica","Veronica Escobar TX",1,"From access to childcare and paid leave, to equal pay for women; to tax credits for those who need it and protecting Medicare for senior citizens and the disabled in the face of efforts to give tax breaks to the wealthiest Americans, our working families and senior citizens need a champion who understands that El Paso families are already under tremendous economic stress.\n\nI see the impact of income inequality everyday and will fight to fix our broken economic system, while protecting the gains made by working families and fighting for tax reforms that support the families I represent.",0,1,1
"538","Tilghman, Jerome","Jerome Tilghman TX",0,"Sexual exploitation of women has for too long been among the ""quiet catastrophes"" in America.  The ""#MeToo"" initiative should be supported and proliferated throughout the country.\n\n... Equal pay for equal work.  The Ledbetter Initiative should put women on an equal footing as men when it comes to pay.  Right now there is around a 20% difference.  Close the gap.",0,1,1
"539","Garcia, Enrique","Enrique Garcia TX",0,NA,0,1,1
"540","Kennedy, Rick","Rick Kennedy TX",0,NA,0,0,0
"541","Matney, Dale","Dale Mantey TX",0,"We must promote health and wellness for all women. Access to contraception, annual well-woman exams, and preventative screenings must be protected. Simply put, we cannot allow employers or insurance companies to come between a woman and her doctor. I will oppose any legislation that is counter to these principles.\n",0,0,0
"542","Johnson, Richard","Richard Johnson TX",0,NA,0,0,1
"543","Levario, Miguel","Miguel Levario TX",0,NA,0,0,0
"544","Crowe, Derrick","Derrick Crowe TX",0,"American women should know that they will receive equal pay on the job, as well as paid maternity leave should they choose to have a child. They should also be afforded the respect of having control of their own bodies, and their reproductive rights should be safe from right wing attacks on their freedom.",0,1,2
"545","Kopser, Joseph","Joseph Kopser TX",0,"Unwavering Support for Women\nFor too long, too many politicians in Congress – Democrats and Republicans alike – have treated women’s constitutional rights, economic opportunity, access to healthcare, and societal status as a bargaining chip in negotiation. In Congress, my bedrock support for women, their health, their opportunity, their choice, and their freedom will never be a bargaining chip. It will be a foundational principle on which I base my representation of Texas 21 and my votes on complex legislation.\n\nThroughout my adult life, I have sought at times – through my experiences in the Army, in business, and in philanthropy – to be blind to gender as a barrier to opportunity. But as I have grown older my experience has been that barriers aren’t removed by being blind, they are removed by being consciously addressed. In the Army, I was insistent that all of my soldiers were led as equals, whether that be on the battlefield in war, in the bureaucracy of the Pentagon, or in the comfort of an Army post. In business, I was a consistent concern for HR because of my insistence that my company make a conscious effort towards gender parity amongst my staff. When we couldn’t get the resumes to reach that parity, my wife and I committed our own funds to invest in ensuring the next generation of young girls both had and sought opportunities in STEM. What we learned through these experiences was that we needed to capture the minds of young women in fourth and fifth grade before societal stereotypes influence their biggest dreams, and I hope that our investment will spur the STEM leaders of tomorrow.\n\nIn Congress, I will do my best to view policies through the lens that my wife, my daughters, and other strong women in my life have helped me develop in my decades of living. I will always consider the impacts of legislation on women, not as a special interest group but in the context of their unique needs as the majority of the population – deserving of equal opportunity, treatment, and support – that has been historically and institutionally marginalized. I will continue to learn from and be led by women around me who share their stories, experiences, and concerns.\n\nProtecting a Woman’s Right to Choose\nI fully believe, affirm, and support a women’s right to choose. This is a fundamental right, anchored in privacy and personal domain, and should never be influenced by politicians. The notion that any politician – Democrat or Republican, man or woman – should have any say over what a woman can and cannot do with her body is preposterous. In Congress, I will stand in strong opposition to bills that attempt to leverage women’s constitutional rights or that attempt to roll the clock back on women’s health and safety.\n\nPlanned Parenthood Funding\nPrevention\nTexas has proven to be a case study in the need to protect funding for the vital healthcare services that Planned Parenthood provides its patients. The heartbreaking stories of healthcare deserts that have been created by Planned Parenthood clinics being forced to shut down, when at times they were the only accessible opportunity for prenatal care, gynecological care, oncological care and other basic needs, could fill a book. The most devastating of these stories has been Texas’ meteoric rise to the worst ends of maternal death rates.\n\n\n\nThere’s no more basic tenant of service in government than protecting the health and well-being of one’s constituents and funding for Planned Parenthood clinics is one of the most basic ways I can fill this fundamental role. I will be a champion of funding for Planned Parenthood clinics and all of the services it provides to so many disadvantaged families in this country.\n\nAccess to Birth Control\nBirth control saves lives and the attack on access must end.\n\nI will advocate for expanded and more strongly protected coverage through the insurance markets. We must ensure that not only do we keep birth control accessible to the populations that need it, but that it also remains to them as well. Often times, availability over the counter can mean that some of the communities that most vulnerable, and would most benefit from universal access, are priced out of receiving the care they need.\n\n\nThis will allow for greater freedom for families, not only from the burden of having to take responsibility for paying repeated co-pays to obtain a birth control prescription, but also from worry whether the insurance plan covers such a prescription, or adequately pays for it. Moreover, it will free millions of women from having to make the often excruciatingly difficult choice of whether to terminate an unwanted pregnancy.\n\nI will fight any legislation that furthers the confusing and troubling efforts by Republicans to condemn abortion, while at the same time trying to block women’s access to measures shown to reduce this practice and empower women in their control of family planning decisions, like birth control.\n\nFamily Leave\nThe U.S. is the only developed country in the world that doesn’t offer families the support they need in the form of paid parental leave. In Congress, I will fight to change the perception of paid family leave from a luxury to the modern necessity it is for many families today.\n\n \nWe’ve ignored this issue long enough, and it’s time to do right by working American families. I’ll advocate for a guaranteed 12 weeks paid leave of at least two-thirds of current wages for all working Americans to care for a new child or seriously ill family member, or to recover from their own health scares.\n\nMoreover, I’ll ensure this paid leave comes at no additional cost to businesses—including small businesses—by proposing a tax reform policy that makes sure the wealthy are paying their fair share to support the working families that are integral to the strength of our economy. I will recoup some of these funds by repealing the irresponsible tax cuts that Congress just passed.\n\nWIC & SNAP\nWIC & SNAP are not bargaining chips; they are essential parts of the social safety net. They form the basic tenets of a government’s social contract with its citizens and are a key indicator of how we as society take care of the least among us. They are essential, precious investments in our family, our friends, our neighbors, and more broadly our citizens. It will always be a priority of mine to protect and strengthen these programs that are vital to so many women, single parents, young children, and families.\n\nEqual Pay for Equal Work\nPay equity is a fundamental, common sense tenet of fairness in a modern society. This should be uncontroversial and it is inexcusable that we are still in a place in society where women make $0.77 on the dollar, and more egregiously, African American women make $0.65 on the dollar and Latina women make $0.59 on the dollar. In Congress, one of my main priorities will be ensuring that we institute accountable, verifiable, trackable incentives to bring a reality to pay parity.\n\nOpen Opportunity\nThrough the adventures that have filled my professional career to date, I have experienced jobs and opportunities that society has wrongfully geared towards men. At every opportunity, I insisted on making the Army, and later entrepreneurship in the STEM field, an open, enticing, and reachable opportunity for anybody who aspires into those ranks. I will seek to leverage my platform in Congress, and in the broader region of Central Texas to continue that insistence that opportunities are open for all. Where there is capacity, I will bring down federal dollars to support programs specifically geared towards creating opportunities for women and young girls. Where there is not that opportunity, I will use my voice as a means to echo and otherwise codify the furthest reaches of their dreams.\n\nRaising the Minimum Wage\nWhen Congressman Lamar Smith was first elected to Congress in 1986, the minimum wage was indeed a wage for those entering the job market and seeking to gain experience in their first professional roles. The reality today is much different: adult women make up 60% of minimum wage earners and 80% of single parents earning minimum wage are women. I will fight with great fervor to increase the minimum wage to a living wage: $15 per hour and indexed to inflation. This is one of the simplest things we as a society can do to lift millions of Americans out of poverty.",0,1,2
"546","Kulkarni, Sri Preston","Sri Preston Kulkarni TX",0,"Universal healthcare must also include access to women’s reproductive health services, contraceptives, and vaccines for diseases such as HPV, which leads to over 40,000 cases of cervical cancer a year. Members of Congress who vote on laws that affect the reproductive health of their constituents should have an understanding of basic biology.",0,0,2
"547","Brown, Steve","Steve Brown TX",0,NA,0,0,2
"548","Plummer, Letitia","Letitia Plummer TX",1,"Texas has one of the highest rates of maternal mortality in the developed world. Being home to the world’s most prestigious Medical Center, this is unacceptable. We must ensure that women have access to affordable and quality healthcare, which includes the right to choose, access to birth control and emergency contraception. I stand behind Planned Parenthood, not only because it provides these services, but several others including testing and treating sexually transmitted infections, pap smears, cancer screenings and wellness exams for both women and men.\nI believe that a woman’s healthcare decisions should only be between her and her doctor, PERIOD.",0,0,2
"549","Gibson, Mark","Mark Gibson TX",0,"Equal Pay for Women can cut poverty in half, boost wages significantly, AND grow the economy. Women make up nearly half of our nation’s workforce, yet from warehouse to boardrooms, their talent and hard work are not reflected in their paycheck. On average women are paid only 78 cents for every dollar paid to men. It time to close the gap.",0,0,2
"550","Trevino, Rick","Rick Trevino TX",0,NA,0,0,2
"551","Hulings, Jay","Jay Hulings TX",0,NA,0,0,2
"552","Canales, Judy","Judy Canales TX",1,"Our health; by making sure that we all have access to safe, affordable healthcare and protecting a woman’s right to choose",0,0,2
"553","Jones, Gina Ortiz","Gina Ortiz Jones TX",1,NA,0,0,2
"554","Biggan, John","John Biggan TX",0,"All women, regardless of background or ability to pay, should have access to quality health care, sex education, contraception, and legal reproductive services. They have the right to education and quality medical care so they can make their own choices about their own bodies. There are a variety of ways to help.\nHEALTH CARE: Universal health care will ensure all women get the care they need, but until we can make that a reality, we must work with state legislators to make sure Medicaid is expanded so all Texans can get the care they need. We should also support, not attack, private organizations that help provide a variety of medical services to women who otherwise cannot afford it.\nSEX EDUCATION: All teens, male and female, need comprehensive, age appropriate, and medically accurate sex education, whether it is provided publicly or privately. Colorado lowered their teen pregnancy rate by nearly 50% by providing teens with comprehensive sex education and access to contraceptives. Now is the time to empower Texans to protect themselves.\nMATERNAL MORTALITY RATE: Texas has the highest maternal mortality rate in the entire developed world. It used to be much lower, but has spiked since 2010 and the reason is unclear. We need to work with local and federal agencies to study the problem and figure out how to fix it. This approach has been effective in other states and it can work here too.\nREPRODUCTIVE SERVICES: The government should not be in the business of telling women and couples when to start their families. We should make sure every woman has access to safe, legal services in a healthcare setting that is equipped, licensed, and properly trained to provide it, and support their right to receive it unencumbered.",0,0,2
"555","Allen, Todd","Todd Allen TX",0,"The Right of American Women\n* I struggle with the issue of abortion just like every American does. I do not believe it is my decision to make for other Americans.  I understand that access to safe, comprehensive reproductive care is a right guaranteed to women by the Constitution, and I will always be on the side of women’s liberty in that fight.\n* Like most Americans, I am 100% in favor of reducing the number of abortions in this country, and that takes a three-tiered approach. First, we must make motherhood affordable. Second, we must reform our adoption system so it works better for families. Third, we must prevent unintended pregnancies, and that requires access to health care and education that allows women – and men – to make responsible decisions that result in better outcomes for society.",0,0,2
"556","McDowell, Jan","Jan McDowell TX",1,"No one is “pro-abortion.” Abortions should be safe, legal, and rare. That requires easy access to contraception, and to a robust sexual education. A woman must ultimately have the right to make her own decisions about her body.

Women’s rights are human rights. Gender pay equality should be a no-brainer. Affordable, accessible child care benefits everyone…men, women and children. Paid maternity and/or paternity leave are also important building blocks for families to thrive, which again benefits us all.",0,0,2
"557","Panda, Chetan","Chetan Panda TX",0,"Empower our community to protect its residents\nA safe community enables people to realize their potential.\nI will take action in the following areas:\nCombatting Crime\n* Fight Sexual Assault\no Tie policy funding to the processing of rape kits and adoption of best practices for handling sexual assault cases.\no Expand consent based education programs for all Americans.\n* Support the Violence Against Women Act.\n* Support comprehensive background checks for gun purchases to ensure transactions are legal, allow the federal government to research gun violence, invest in gun education, prevent people convicted of violent crimes (including misdemeanors) from purchasing guns, halt the sale of bump stocks and military-style weapons, institute magazine limits, and expand mental health services (because 60% of all gun deaths are suicides).\n* Legalize marijuana to free up resources to combat major crimes.",0,0,0
"558","Thomas, Kathi","Kathi Thomas TX",1,NA,0,0,0
